Name,Longitude location of institution,Latitude location of institution,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Control of institution,Undergraduate enrollment,"Graduation rate - Bachelor degree within 4 years, total",Enrolled total,Applicants total
Alabama A & M University,-86.568502,34.783368,450,450,,19,90,7182,21849,27441,Public,4051,10,1104,6142
University of Alabama at Birmingham,-86.80917,33.50223,640,650,,28,87,7206,22495,31687,Public,11502,29,1773,5689
Amridge University,-86.17401,32.362609,,,,,,6870,,,Private not-for-profit,322,0,,
University of Alabama in Huntsville,-86.63842,34.722818,640,650,,29,81,9192,23466,35780,Public,5696,16,651,2054
Alabama State University,-86.295677,32.364317,480,480,,19,51,8720,18286,25222,Public,5356,9,1479,10245
The University of Alabama,-87.545766,33.2144,620,640,600,30,57,9450,27000,41500,Public,29440,43,6454,30975
Athens State University,-86.96514,34.805625,,,,,,,,,Public,3170,,,
Auburn University at Montgomery,-86.177351,32.369939,,,,23,84,8750,17820,34020,Public,4322,10,579,1958
Auburn University,-85.492409,32.600201,620,650,620,30,83,9852,25282,41794,Public,19799,38,3726,15745
Birmingham Southern College,-86.853636,33.515453,630,640,,29,64,30690,45470,45470,Private not-for-profit,1188,53,356,1931
Concordia College Alabama,-87.023531,32.42443,,,,,,8090,18330,18330,Private not-for-profit,600,10,,
Faulkner University,-86.21641,32.384181,,,,,,18230,31010,31010,Private not-for-profit,2617,11,,
Huntingdon College,-86.285313,32.350939,500,540,,24,63,23500,33885,33885,Private not-for-profit,1110,30,261,1470
Jacksonville State University,-85.766644,33.822128,540,540,,26,83,7092,21237,28029,Public,7588,10,1158,3083
Judson College,-87.316127,32.630526,640,600,610,24,74,15630,28840,28840,Private not-for-profit,347,38,68,268
University of West Alabama,-88.186077,32.59244,,,,22,100,7660,18162,24672,Public,1999,18,380,462
Miles College,-86.908605,33.481306,,,,,,11454,22318,22318,Private not-for-profit,1666,6,,
University of Mobile,-88.128934,30.793247,610,680,,25,71,18690,32570,32570,Private not-for-profit,1481,33,259,866
University of Montevallo,-86.865099,33.10625,613,550,580,26,87,10000,23340,33030,Public,2618,24,531,1385
University of North Alabama,-87.680999,34.80658,565,530,,25,81,7078,16933,22525,Public,5881,12,970,2542
Oakwood University,-86.661628,34.756628,513,510,,22,34,16234,36295,36295,Private not-for-profit,1861,19,409,2728
Samford University,-86.790932,33.464578,630,610,610,28,77,26328,40900,40900,Private not-for-profit,3013,49,765,3447
University of South Alabama,-88.18189,30.695081,550,565,520,26,86,6948,19980,26628,Public,11307,14,1878,4814
Spring Hill College,-88.138199,30.694751,600,600,610,27,46,30924,46170,46170,Private not-for-profit,1292,47,431,6596
Stillman College,-87.585242,33.199228,450,438,,20,43,15901,26877,26877,Private not-for-profit,863,17,257,4121
Talladega College,-86.113675,33.434258,,,,,,11492,21296,21296,Private not-for-profit,932,82,,
Troy University,-85.950191,31.800128,,,,24,68,7276,18228,24564,Public,16316,13,2087,5946
Tuskegee University,-85.710315,32.431021,510,520,,22,35,18900,32853,32853,Private not-for-profit,2584,17,650,10022
University of Alaska Anchorage,-149.826135,61.189554,,,,,,5147,18620,28679,Public,16380,9,,
University of Alaska Fairbanks,-147.824751,64.857053,,,,,,4984,16484,27060,Public,7989,14,,
University of Alaska Southeast,-134.636346,58.38427,,,,,,5693,18657,29233,Public,2645,4,,
Alaska Pacific University,-149.804242,61.191235,575,510,568,24,37,29810,43180,43180,Private not-for-profit,387,25,33,494
American Indian College of the Assemblies of God Inc,-112.092247,33.577738,,,,,,12000,23342,23342,Private not-for-profit,79,25,,
Arizona State University-Tempe,-111.940011,33.421922,620,650,,28,80,9861,23837,37630,Public,38730,38,7171,21770
University of Arizona,-110.950769,32.232071,600,630,590,27,77,10391,25179,42171,Public,31670,40,7401,26329
Embry-Riddle Aeronautical University-Prescott,-112.452285,34.615678,630,650,600,29,79,31034,46314,46314,Private not-for-profit,1879,37,448,1689
Northern Arizona University,-111.657653,35.180095,580,580,560,25,91,9738,22746,35101,Public,22160,30,4772,33989
Ottawa University-Phoenix,-112.113447,33.577907,,,,,,,,,Private not-for-profit,345,,,
Prescott College,-112.476509,34.5445,640,600,580,30,73,29732,41336,41336,Private not-for-profit,545,23,49,399
Arizona Christian University,-112.026211,33.595117,580,600,,25,61,21832,35382,35382,Private not-for-profit,635,28,90,344
University of Arkansas at Little Rock,-92.341835,34.726644,480,480,,27,53,7094,23191,32968,Public,9970,7,667,1443
Arkansas Baptist College,-92.290555,34.734751,,,,,,8040,21005,21005,Private not-for-profit,1027,4,,
Lyon College,-91.628115,35.778934,600,610,600,28,59,23594,34154,34154,Private not-for-profit,592,43,174,1309
University of Arkansas,-94.178214,36.06153,600,630,,28,59,7818,22212,33468,Public,21009,37,4339,18908
University of Arkansas at Pine Bluff,-92.021263,34.242192,430,493,430,20,28,5938,16882,22582,Public,2521,6,568,4094
Arkansas State University-Main Campus,-90.680478,35.842779,515,548,478,26,76,7510,20014,25624,Public,10098,19,1619,4838
Arkansas Tech University,-93.13233,35.295227,490,520,490,25,85,5598,16086,20862,Public,10482,21,1755,3847
University of Arkansas at Monticello,-91.812971,33.589788,,,,,,5793,16427,22224,Public,3706,10,,
University of Central Arkansas,-92.45931,35.078196,,,,26,90,7595,18596,24341,Public,9754,21,2157,3659
Central Baptist College,-92.444102,35.084574,590,670,620,23,54,13350,23224,23224,Private not-for-profit,827,19,129,540
Harding University,-91.729008,35.249605,630,620,,28,76,16170,26634,26634,Private not-for-profit,4428,40,1041,2180
Henderson State University,-93.060313,34.127792,538,590,,24,62,7580,18934,25054,Public,3199,14,704,3350
Hendrix College,-92.442021,35.09972,680,650,,32,80,37816,52536,52536,Private not-for-profit,1431,63,436,1928
John Brown University,-94.559088,36.191077,640,640,610,28,70,22734,34776,34776,Private not-for-profit,2080,55,305,1143
Ouachita Baptist University,-93.052442,34.125045,550,580,,27,70,22370,32610,32610,Private not-for-profit,1543,48,394,1740
University of the Ozarks,-93.467924,35.477785,550,550,,26,61,24350,36379,36379,Private not-for-profit,585,34,159,1061
Philander Smith College,-92.28242,34.73666,,,,,,12564,24986,24986,Private not-for-profit,556,20,,
Williams Baptist College,-90.939876,36.126825,430,510,,24,68,13750,23886,23886,Private not-for-profit,574,24,156,531
Southern Arkansas University Main Campus,-93.235087,33.291195,520,590,,24,61,7466,19438,22588,Public,2960,14,663,2720
University of Arkansas-Fort Smith,-94.374073,35.385345,540,620,550,25,57,4528,16498,22042,Public,7170,9,1343,3905
Azusa Pacific University,-117.88795,34.130865,600,610,,27,80,32256,45996,45996,Private not-for-profit,6543,47,1250,5329
Biola University,-118.017342,33.904823,620,620,620,27,73,32142,46624,46624,Private not-for-profit,4331,49,903,4816
California Institute of Integral Studies,-122.416537,37.774768,,,,,,,,,Private not-for-profit,75,,,
California Baptist University,-117.42587,33.928569,550,560,540,24,79,28122,42228,42228,Private not-for-profit,5797,41,993,3853
California Institute of Technology,-118.12574,34.139275,800,800,790,35,11,41538,58755,58755,Private not-for-profit,977,82,249,5535
California Lutheran University,-118.879467,34.225551,590,613,,26,48,35720,52577,52577,Private not-for-profit,2888,61,540,6920
California Polytechnic State University-San Luis Obispo,-120.65856,35.29889,650,690,,30,31,8724,24285,35445,Public,18739,29,3635,36941
Alliant International University,-117.094398,32.897056,,,,,49,15816,29986,29986,Private not-for-profit,917,,28,128
California State University-Bakersfield,-119.104711,35.350005,500,520,,22,66,6775,21186,32346,Public,7350,15,1328,6630
California State University-Stanislaus,-120.852511,37.52577,510,520,,22,72,6491,22433,33593,Public,7754,18,1109,5763
California State University-San Bernardino,-117.322508,34.182987,490,510,,20,58,6550,20377,31537,Public,16191,9,2448,12239
California State Polytechnic University-Pomona,-117.819019,34.054273,570,620,,26,52,6350,22571,33731,Public,20952,10,3120,28143
California State University-Chico,-121.846333,39.728003,550,570,,24,72,6972,22362,33522,Public,15290,17,2714,17215
California State University-Dominguez Hills,-118.259316,33.86524,470,470,,19,57,6100,21286,32446,Public,12481,4,1214,14742
California State University-Fresno,-119.748258,36.814477,510,530,,22,58,6287,20682,31842,Public,20295,14,3139,16242
California State University-Fullerton,-117.885349,33.883627,550,580,,24,46,6186,23505,34665,Public,33116,14,4526,38909
California State University-East Bay,-122.058073,37.65707,500,520,,22,69,6550,22312,33472,Public,12146,11,1572,12741
California State University-Long Beach,-118.1123,33.782752,550,590,,24,31,6240,22106,33266,Public,30593,14,4276,55019
California State University-Los Angeles,-118.168965,34.066927,480,510,,20,68,6344,21705,32865,Public,19589,7,2908,27321
California State University-Northridge,-118.526817,34.23671,510,530,,22,46,6525,21669,32829,Public,33771,13,4149,29339
California State University-Sacramento,-121.42194,38.55745,520,540,,22,70,6628,23209,34369,Public,26094,8,3151,19702
University of California-Berkeley,-122.260401,37.871519,720,770,750,33,18,12864,33319,56197,Public,25951,72,4162,61717
University of California-Davis,-121.751958,38.539895,640,680,650,29,45,13895,33066,55944,Public,26533,51,5208,49820
University of California-Irvine,-117.841248,33.648434,600,670,620,27,42,13149,30504,53382,Public,23530,68,5077,56515
University of California-Los Angeles,-118.443901,34.068892,680,760,710,31,22,12697,32416,55294,Public,28674,69,5620,72676
University of California-Riverside,-117.331098,33.97588,580,630,590,25,62,12960,32238,55116,Public,18621,41,4034,30391
University of California-San Diego,-117.237793,32.876598,660,730,690,31,38,13271,30470,53348,Public,23805,56,4575,60832
University of California-Santa Barbara,-119.848031,34.415402,650,690,660,29,44,13746,34051,56929,Public,19362,68,4741,55258
University of California-Santa Cruz,-122.067993,36.997258,610,620,610,26,60,13397,33153,56031,Public,15695,50,3827,33137
California Maritime Academy,-122.231551,38.069061,580,610,,26,75,6536,21102,32262,Public,1045,43,198,893
Chapman University,-117.851481,33.793678,640,660,650,29,45,43573,59459,59459,Private not-for-profit,6005,59,1289,11750
Concordia University-Irvine,-117.81063,33.6535,550,560,550,25,91,29630,43550,43550,Private not-for-profit,1944,54,373,2055
San Diego Christian College,-116.903073,32.799999,570,550,530,22,49,25888,40252,40252,Private not-for-profit,892,31,99,561
Claremont Graduate University,-117.712394,34.103778,,,,,,,,,Private not-for-profit,0,,,
Claremont McKenna College,-117.706593,34.102323,740,760,750,33,12,45625,62010,62010,Private not-for-profit,1316,84,337,5518
Coleman University,-117.136493,32.821962,,,,,100,20200,,,Private not-for-profit,532,100,60,82
Dominican University of California,-122.514654,37.980014,570,590,580,25,78,40600,58860,58860,Private not-for-profit,1603,36,305,2322
Fielding Graduate University,-119.717151,34.4294,,,,,,,,,Private not-for-profit,0,,,
Fresno Pacific University,-119.731953,36.725279,550,550,550,22,78,25716,36991,36991,Private not-for-profit,2586,43,212,705
Golden Gate University-San Francisco,-122.398785,37.789208,,,,,,14400,,,Private not-for-profit,475,,0,0
Harvey Mudd College,-117.710594,34.106137,760,800,760,35,18,46509,63860,63860,Private not-for-profit,807,86,217,3539
Holy Names University,-122.18717,37.802654,500,500,,21,57,33020,49041,49041,Private not-for-profit,888,25,87,561
Humboldt State University,-124.0814,40.8741,580,560,,24,80,7144,22556,33716,Public,7767,11,1237,9978
Humphreys College-Stockton and Modesto Campuses,-121.316401,38.011051,,,,,,11277,,,Private not-for-profit,757,52,,
John F Kennedy University,-122.183972,37.881794,,,,,,,,,Private not-for-profit,279,,,
American Jewish University,-118.471764,34.128099,,,,,59,27900,46869,46869,Private not-for-profit,112,69,23,100
University of La Verne,-117.772634,34.10086,550,580,560,25,39,35000,51997,51997,Private not-for-profit,5216,39,623,6989
Lincoln University,-122.269745,37.804788,,,,,,10105,,,Private not-for-profit,116,0,,
La Sierra University,-117.497071,33.908834,510,530,520,22,47,29103,41490,41490,Private not-for-profit,2105,30,477,3479
The Master's College and Seminary,-118.517422,34.38214,620,610,,27,61,28800,42147,42147,Private not-for-profit,1112,48,209,849
Loyola Marymount University,-118.415655,33.970633,640,650,650,29,54,40265,57379,57379,Private not-for-profit,6205,67,1341,11472
Menlo College,-122.181444,37.452906,532,565,513,25,37,37100,53834,53834,Private not-for-profit,745,28,139,4100
Mills College,-122.18789,37.782639,640,610,620,28,68,41494,56812,56812,Private not-for-profit,985,53,217,1827
Monterey Institute of International Studies,-121.896813,36.599827,,,,,,,,,Private not-for-profit,22,,,
Mount St Mary's College,-118.480471,34.082112,510,520,,22,74,33852,51100,51100,Private not-for-profit,2625,52,559,2316
National University,-117.244243,32.909469,,,,,,12096,,,Private not-for-profit,10074,15,,
Notre Dame de Namur University,-122.284618,37.517501,550,560,510,22,87,31126,49038,49038,Private not-for-profit,1213,36,172,1922
Occidental College,-118.210783,34.126224,700,700,700,31,42,46652,63363,63363,Private not-for-profit,2128,83,548,6072
Hope International University,-117.88573,33.87616,538,528,530,22,47,26050,39537,39537,Private not-for-profit,925,27,78,408
Pacific Union College,-122.449639,38.57409,570,580,560,25,51,27480,39852,39852,Private not-for-profit,1645,24,335,2103
University of the Pacific,-121.307296,37.980624,640,680,640,29,73,39810,57033,57033,Private not-for-profit,3877,40,958,14222
Pepperdine University,-118.707677,34.041912,660,680,670,,37,44902,61192,61192,Private not-for-profit,3538,70,784,9721
Pitzer College,-117.705939,34.103408,,,,,15,45018,61416,61416,Private not-for-profit,1081,73,261,4115
Point Loma Nazarene University,-117.251204,32.713295,630,630,,28,67,30356,44593,44593,Private not-for-profit,2556,62,647,3138
Pomona College,-117.711944,34.098298,760,780,780,34,14,43580,59730,59730,Private not-for-profit,1610,93,397,7153
University of Redlands,-117.163847,34.063571,610,620,,27,67,41290,58559,58559,Private not-for-profit,3607,63,673,4668
San Diego State University,-117.071228,32.77525,590,610,,26,31,6766,25068,36228,Public,27099,33,4139,51163
University of San Diego,-117.188721,32.77142,650,670,,30,49,41392,58189,58189,Private not-for-profit,5665,65,1238,14693
San Francisco State University,-122.477905,37.721345,550,560,,24,64,6450,23828,34988,Public,26156,13,3807,31462
University of San Francisco,-122.450977,37.775564,630,640,630,27,61,40294,58384,58384,Private not-for-profit,6392,57,1148,14808
San Jose State University,-121.881214,37.335201,550,600,,25,63,7343,23629,34789,Public,25862,8,3384,25155
Santa Clara University,-121.938189,37.352706,680,700,,31,51,42156,59589,59589,Private not-for-profit,5435,77,1278,14339
Scripps College,-117.711336,34.103655,733,720,750,32,36,45564,61370,61370,Private not-for-profit,990,80,272,2378
Simpson University,-122.333048,40.61331,570,580,560,23,55,23300,35324,35324,Private not-for-profit,1024,38,150,573
Saint Mary's College of California,-122.106795,37.83997,600,610,610,27,69,39890,58365,58365,Private not-for-profit,3055,50,622,4864
Sonoma State University,-122.673261,38.341023,550,560,,24,82,7234,23295,34455,Public,8391,26,1749,13142
Vanguard University of Southern California,-117.900911,33.662686,550,520,,28,70,29250,43076,43076,Private not-for-profit,2135,47,392,1495
University of Southern California,-118.283858,34.021058,720,760,750,33,20,46298,62180,62180,Private not-for-profit,18445,78,2922,47358
Thomas Aquinas College,-119.087141,34.429009,700,640,690,31,79,24500,35716,35716,Private not-for-profit,366,73,88,178
Westmont College,-119.661932,34.449265,650,660,650,29,70,38510,53670,53670,Private not-for-profit,1308,72,298,2145
Whittier College,-118.028402,33.977625,570,580,580,25,63,40296,53700,53700,Private not-for-profit,1656,63,446,4381
Woodbury University,-118.340692,34.209226,540,550,,25,56,33150,48512,48512,Private not-for-profit,1357,19,118,879
Adams State University,-105.880943,37.477238,533,550,530,22,53,7449,19691,30323,Public,2284,12,519,2658
University of Colorado Denver,-104.999181,39.74603,600,605,,26,76,7933,24555,38679,Public,13010,16,991,3075
University of Colorado Colorado Springs,-104.800296,38.892735,580,600,,25,91,7024,20424,31837,Public,9220,26,1616,7034
University of Colorado Boulder,-105.267061,40.004415,630,650,,29,88,10347,28887,50655,Public,26096,44,5846,22473
Colorado Christian University,-105.094836,39.711701,,,,,98,25046,38130,38130,Private not-for-profit,4973,24,447,1186
Colorado College,-104.82422,38.84657,710,720,700,32,22,44222,57400,57400,Private not-for-profit,2041,79,522,5780
Colorado School of Mines,-105.227148,39.75079,670,720,650,31,37,16485,30603,46533,Public,4291,41,949,11682
Colorado State University-Fort Collins,-105.08083,40.574759,620,630,,27,77,9313,23203,39056,Public,23548,37,4443,17970
College America-Denver,-104.94118,39.691571,,,,,,17211,,,Private not-for-profit,497,32,,
University of Denver,-104.964625,39.695954,660,660,630,30,77,40707,56077,56077,Private not-for-profit,5517,67,1413,13735
Fort Lewis College,-107.867003,37.275428,570,580,,25,88,6923,22393,33233,Public,3984,17,876,2560
Colorado Mesa University,-108.540281,39.076354,540,550,,23,82,6725,19729,29752,Public,9576,13,2214,6459
Metropolitan State University of Denver,-105.002391,39.742248,590,610,,23,71,5744,,,Public,22289,6,1991,5867
Naropa University,-105.267073,40.014816,,,,,80,28790,43620,43620,Private not-for-profit,383,20,38,79
University of Northern Colorado,-104.701721,40.403178,570,570,,24,70,6968,20264,31803,Public,9947,27,1939,7602
Regis University,-105.031385,39.78976,600,600,,26,70,32424,46326,46326,Private not-for-profit,5172,42,531,3006
Colorado State University-Pueblo,-104.579846,38.309219,510,540,,23,94,7327,20938,31260,Public,5207,18,916,3147
Western State Colorado University,-106.91971,38.547421,560,550,,24,93,7343,20045,29986,Public,2193,23,473,1514
Albertus Magnus College,-72.923848,41.332519,480,480,470,,68,28378,47302,47302,Private not-for-profit,1278,0,132,689
University of Bridgeport,-73.189352,41.165587,500,510,500,22,64,29090,50043,50043,Private not-for-profit,2835,19,542,5248
Central Connecticut State University,-72.770094,41.690258,540,560,550,25,64,8706,23197,34702,Public,9771,20,1293,5551
Charter Oak State College,-72.767972,41.688246,,,,,,,,,Public,1580,,,
Connecticut College,-72.107321,41.379833,,,,,36,46085,60780,60780,Private not-for-profit,1915,79,503,4837
University of Connecticut,-72.249519,41.808205,650,680,,30,54,12022,27244,46192,Public,18032,68,3755,27479
Eastern Connecticut State University,-72.218753,41.721673,550,550,560,24,65,9376,24394,35899,Public,5179,32,985,5112
Fairfield University,-73.25778,41.160732,,,,,71,42920,58730,58730,Private not-for-profit,3873,79,990,9254
Rensselaer Hartford Graduate Center Inc,-72.673916,41.773462,,,,,,,,,Private not-for-profit,0,,,
University of Hartford,-72.714965,41.796485,570,580,,26,62,33358,48170,48170,Private not-for-profit,5187,51,1267,15127
Mitchell College,-72.095337,41.328075,,,,,58,29458,46750,46750,Private not-for-profit,866,31,178,1162
University of New Haven,-72.961472,41.291314,550,580,560,25,74,33740,50210,50210,Private not-for-profit,4864,44,1174,10169
Quinnipiac University,-72.895542,41.419527,580,610,590,27,67,39330,55780,55780,Private not-for-profit,6542,72,1803,20699
Sacred Heart University,-73.24461,41.221548,,,,,76,35050,53569,53569,Private not-for-profit,4489,63,865,7781
University of Saint Joseph,-72.730489,41.783028,520,520,,22,86,33417,49923,49923,Private not-for-profit,1049,37,153,860
Southern Connecticut State University,-72.948806,41.331852,510,510,530,22,75,9020,22945,34411,Public,8257,18,1380,4870
Trinity College,-72.688684,41.746746,680,670,673,29,32,47510,62310,62310,Private not-for-profit,2301,81,604,7652
Wesleyan University,-72.656755,41.55678,740,740,750,33,21,47244,62849,62849,Private not-for-profit,2906,86,752,10046
Western Connecticut State University,-73.444264,41.400365,,,,,65,8893,23426,34931,Public,5492,21,797,3613
Yale University,-72.926688,41.311158,800,790,800,35,7,44000,61620,61620,Private not-for-profit,5430,90,1356,28977
Delaware State University,-75.54053,39.187173,480,490,470,19,42,7336,21581,29937,Public,3892,18,1036,8884
University of Delaware,-75.7536,39.679791,630,650,630,29,65,12112,25612,43432,Public,18487,68,4224,25458
Wesley College,-75.527377,39.16325,470,475,455,23,62,23590,38230,38230,Private not-for-profit,1600,11,556,2933
Wilmington University,-75.586998,39.682299,,,,,,9950,,,Private not-for-profit,8611,31,,
American University,-77.090106,38.937802,690,660,680,30,43,40649,56808,56808,Private not-for-profit,7340,76,1627,17545
Catholic University of America,-76.998961,38.935796,610,610,,27,60,38526,56842,56842,Private not-for-profit,3713,62,837,6298
University of the District of Columbia,-77.066247,38.943819,,,,,,5138,,,Public,4712,6,,
Gallaudet University,-76.993675,38.907371,435,495,,20,66,13800,31988,31988,Private not-for-profit,1077,16,201,520
George Washington University,-77.047871,38.89865,690,700,700,31,33,47343,61446,61446,Private not-for-profit,10357,76,2387,21756
Georgetown University,-77.073463,38.908809,750,750,,33,17,44805,62179,62179,Private not-for-profit,7636,88,1570,20115
Howard University,-77.019478,38.920739,590,590,580,26,49,22683,41643,41643,Private not-for-profit,6974,40,1394,11687
Trinity Washington University,-77.004261,38.927398,,,,,52,21630,34470,34470,Private not-for-profit,1853,15,276,1493
Barry University,-80.196136,25.878865,520,520,490,21,47,28160,45100,45100,Private not-for-profit,4341,22,576,7845
Bethune-Cookman University,-81.031429,29.210193,460,450,,18,67,14410,27058,27058,Private not-for-profit,3724,23,1022,7429
Lynn University,-80.123851,26.382777,520,530,510,22,78,33600,49535,49535,Private not-for-profit,1785,33,456,2697
Carlos Albizu University-Miami,-80.355002,25.795162,,,,,36,12048,,,Private not-for-profit,294,13,16,58
University of Central Florida,-81.198805,28.60106,630,640,610,28,49,6317,20839,36938,Public,51333,36,6068,31820
Clearwater Christian College,-82.697305,27.963556,580,550,,25,70,17125,30125,30125,Private not-for-profit,495,44,126,468
Eckerd College,-82.685992,27.718996,620,610,,28,71,37362,51796,51796,Private not-for-profit,2173,59,534,3912
Edward Waters College,-81.684817,30.34513,440,440,430,18,27,11525,23833,23833,Private not-for-profit,862,1,208,1907
Embry-Riddle Aeronautical University-Daytona Beach,-81.0495,29.189244,590,640,580,27,74,31334,46614,46614,Private not-for-profit,4679,34,944,4074
Florida Agricultural and Mechanical University,-84.285664,30.428599,520,510,490,22,45,5785,19545,31485,Public,8930,12,1145,5029
Florida Atlantic University,-80.102293,26.372536,560,570,560,24,48,4790,21583,34027,Public,25790,15,3479,24889
Flagler College-St Augustine,-81.315256,29.89335,580,580,570,25,50,16180,29560,29560,Private not-for-profit,2839,46,708,5396
Florida College,-82.383446,28.034911,590,570,,26,59,14490,26750,26750,Private not-for-profit,558,9,196,383
Florida Institute of Technology,-80.624628,28.064503,610,650,,28,60,36020,52690,52690,Private not-for-profit,3257,39,783,7820
Florida International University,-80.377591,25.757111,620,610,600,27,43,6496,22968,35367,Public,39142,20,2990,16549
Florida Memorial University,-80.270672,25.917854,,,,,42,14776,26588,26588,Private not-for-profit,1517,23,432,4960
Florida Southern College,-81.945791,28.031507,590,590,580,27,50,28580,40700,40700,Private not-for-profit,2416,47,635,4963
Florida State University,-84.294801,30.4421,640,640,640,29,57,6507,21543,36709,Public,32528,57,6048,29579
University of Florida,-82.361195,29.638248,670,690,680,31,47,6263,19103,41381,Public,33168,65,6373,27107
Jacksonville University,-81.60706,30.350349,550,560,,24,47,29900,44670,44670,Private not-for-profit,3425,24,528,3498
Jones College-Jacksonville,-81.610068,30.328002,,,,,,7410,,,Private not-for-profit,449,14,,
Keiser University-Ft Lauderdale,-80.163959,26.185869,,,,,93,16284,,,Private not-for-profit,16039,59,3658,4620
Trinity International University-Florida,-80.257156,26.099656,,,,,,,,,Private not-for-profit,258,,,
University of Miami,-80.27645,25.720406,700,720,690,32,40,42852,60906,60906,Private not-for-profit,11380,71,2140,28907
Remington College-Tampa Campus,-82.385976,27.983466,,,,,81,15995,,,Private not-for-profit,189,44,41,67
University of North Florida,-81.507853,30.270917,620,610,590,26,53,6353,20575,34978,Public,14263,21,1615,10635
Nova Southeastern University,-80.24248,26.079337,590,600,,27,57,25430,43580,43580,Private not-for-profit,5156,25,673,4328
Palm Beach Atlantic University,-80.049758,26.704629,590,590,,26,84,25532,39302,39302,Private not-for-profit,2887,40,587,1618
Rollins College,-81.348716,28.591992,640,650,650,29,59,41460,59438,59438,Private not-for-profit,2608,61,477,4729
Saint Leo University,-82.257287,28.336776,,,,,77,19920,33200,33200,Private not-for-profit,12640,31,645,3178
St Petersburg College,-82.717331,27.90242,,,,,,3232,,,Public,31820,,,
University of South Florida-Main Campus,-82.415876,28.056647,620,640,610,28,45,6410,20760,31674,Public,31100,36,3904,28512
St Thomas University,-80.256265,25.920915,510,500,490,21,46,26370,41649,41649,Private not-for-profit,1035,28,210,727
Stetson University,-81.301604,29.036295,640,630,610,28,59,38330,53712,53712,Private not-for-profit,2729,56,852,10509
Southeastern University,-81.918997,28.031864,550,530,530,23,59,19986,32234,32234,Private not-for-profit,3083,24,865,2124
The University of Tampa,-82.465582,27.947225,570,580,560,26,52,25772,39375,39375,Private not-for-profit,6499,51,1592,15345
Warner University,-81.599972,27.825751,490,500,,21,34,18430,29879,29879,Private not-for-profit,1043,26,179,1264
Webber International University,-81.532325,27.838798,530,547,,24,64,21050,37173,37173,Private not-for-profit,667,2,207,944
The University of West Florida,-87.218125,30.542855,570,560,540,26,48,6357,19737,32618,Public,10158,20,1333,12347
Agnes Scott College,-84.29563,33.769996,,,,,67,34788,47323,47323,Private not-for-profit,915,66,254,1340
Albany State University,-84.14306,31.571395,480,470,,20,20,6024,19590,31792,Public,3660,16,501,8250
Armstrong Atlantic State University,-81.160409,31.978109,550,540,,23,70,5085,21373,31135,Public,6377,10,1128,3118
Point University,-85.184285,32.879467,535,510,,22,54,17400,27400,27400,Private not-for-profit,1439,33,238,934
Clark Atlanta University,-84.412818,33.748772,470,470,,21,57,21100,35471,35471,Private not-for-profit,2629,21,781,5873
Berry College,-85.189077,34.289254,640,630,610,29,60,29090,43834,43834,Private not-for-profit,2141,50,672,3901
Brenau University,-83.821513,34.303117,550,500,,21,78,23350,38528,38528,Private not-for-profit,1700,30,206,2160
Brewton-Parker College,-82.586136,32.185718,490,500,480,20,51,13560,24786,24786,Private not-for-profit,693,10,150,475
Clayton  State University,-84.328174,33.594079,520,510,500,21,48,5153,18830,28592,Public,6893,9,545,2046
Columbus State University,-84.940796,32.501556,550,540,530,23,55,5514,19620,29662,Public,7013,12,1045,3170
Covenant College,-85.37496,34.963327,670,630,650,28,57,29100,40330,40330,Private not-for-profit,1104,48,268,1129
Dalton State College,-85.00289,34.77496,,,,,,3910,13970,21828,Public,5015,8,,
Emmanuel College,-83.146825,34.282617,510,530,,,48,16800,26400,26400,Private not-for-profit,806,31,156,876
Emory University,-84.325782,33.798836,710,750,730,32,26,44008,59908,59908,Private not-for-profit,7836,84,1363,17475
Fort Valley State University,-83.895548,32.538163,460,450,,,33,6438,20725,32927,Public,2858,8,624,4076
Georgia Institute of Technology-Main Campus,-84.396019,33.773732,700,760,700,32,55,10650,23384,42688,Public,14558,41,3044,14645
Georgia Southwestern State University,-84.217755,32.058198,520,520,,22,68,5035,19063,28825,Public,2667,15,376,1245
Georgia College and State University,-83.231962,33.082787,610,620,600,26,68,8790,23752,41652,Public,5729,39,1392,4051
Georgia Southern University,-81.782201,32.427756,590,600,570,25,52,6071,22269,32335,Public,17904,26,3604,10525
Georgia State University,-84.38667,33.7527,580,590,,25,55,8368,24448,39016,Public,24868,21,3460,13890
University of Georgia,-83.374049,33.956428,660,670,670,30,56,10262,22064,40274,Public,26278,57,4936,18458
Kennesaw State University,-84.58083,34.03629,590,580,570,24,57,5818,24659,34739,Public,22621,15,3194,9471
LaGrange College,-85.041394,33.039713,550,540,,23,58,25690,40288,40288,Private not-for-profit,856,31,271,1648
Life University,-84.514156,33.932104,,,,,75,7947,28077,28077,Private not-for-profit,765,22,212,809
Mercer University,-83.651042,32.829731,630,640,,28,69,33120,48212,48212,Private not-for-profit,4419,44,728,3864
Morehouse College,-84.415156,33.74793,550,560,550,23,67,25468,47345,47345,Private not-for-profit,2170,39,488,2690
University of North Georgia,-83.985934,34.530254,,,,,,,,,Public,,,,
